Date,Description,Details, Money out , Money in , Balance 
1/18/2013,Received from IBM UK,Credit,,"1,000,000,000.00","4,000,000,000"
2/14/2013,Payment to Natwest Mtge Payt,Debit,"300,009,988",,"3,699,990,012"
2/28/2013,Payment to UK provident Fund by Draft,Debit,"200,043,995",,"3,499,946,017"
3/5/2013,Direct Debit HSBC UK,Debit,"980,050,054",,"2,519,895,963"
3/21/2013,Received from Microsoft UK,Credit,,"299,999,044.00","2,819,895,007"
3/29/2013,Transfer from Sort Code 20-10-53,Credit,,"500,498,277.00","3,320,393,284"
5/8/2013,Payment to Exxon Mobil Unlimited,Debit,"100,029,847",,"3,220,363,437"
5/15/2013,Received from British Petroleum,Credit,,"55,049,594.00","3,275,413,031"
5/29/2013,Payment to Board of Internal,Debit,"5,030,498",,"3,270,382,533"
7/2/2013,Direct Debit HSBC China,Debit,"10,098,009",,"3,260,284,524"
8/20/2013,Received from Shell BP,Credit,,"49,919,893.00","3,310,204,417"
9/13/2013,Drawn on Cho No. 448960,Debit,"28,000,492",,"3,282,203,925"
10/9/2013,Transfer from HSBC Dubai,Credit,,"100,004,892.00","3,382,208,817"
2/7/2014,OVO Energy,Debit,"250,000,563",,"3,132,208,254"
2/8/2014,Various Payment,Credit,,"320,490,287.00","3,452,698,541"
2/9/2014,HMRC,Credit,,"200,000,034.00","3,652,698,575"
2/10/2014,DVLA,Debit,"45,000,434",,"3,607,698,141"
2/20/2014,Amazon,Debit,"1,320,789",,"3,606,377,352"
2/21/2014,Tebay Trading Co.,Credit,,"42,452,464.92","3,648,829,817"
2/22/2014,Morrisons Petrol,Debit,"54,400",,"3,648,775,417"
