Date,Description,Details,debit,credit,balance
1/18/2013,Received from IBM UK,Credit,,"1,000,000,000","-294,967,296"
2/14/2013,Payment to Natwest Mtge Payt,Debit,"300,009,988",,"-594,977,284"
2/28/2013,Payment to UK provident Fund by Draft,Debit,"200,043,995",,"-79,502"
3/5/2013,Direct Debit HSBC UK,Debit,"980,050,054",,"-1,775,071,333"
3/21/2013,Received from Microsoft UK,Credit,,"300,000,044","-147,508"
3/29/2013,Transfer from Sort Code 20-10-53,Credit,,"500,498,277","-974,573,012"
5/8/2013,Payment to Exxon Mobil Unlimited,Debit,"100,029,847",,"-1,074,602,859"
5/15/2013,Received from British Petroleum,Credit,,"55,049,837","-1,019,553,022"
5/29/2013,Payment to Board of Internal,Debit,"5,030,498",,"-1,024,583,520"
7/2/2013,Direct Debit HSBC China,Debit,"10,098,009",,"-1,034,681,529"
8/20/2013,Received from Shell BP,Credit,,"49,920,002","-984,761,527"
9/13/2013,Drawn on Cho No. 448960,Debit,"28,000,492",,"-1,012,762,019"
10/9/2013,Transfer from HSBC Dubai,Credit,,"100,004,892","-912,757,127"
2/7/2014,OVO Energy,Debit,"250,000,563",,"-1,162,757,690"
2/8/2014,Various Payment,Credit,,"320,490,287","-842,267,403"
2/9/2014,HMRC,Credit,,"200,000,034","-642,267,369"
2/10/2014,DVLA,Debit,"45,000,434",,"-687,267,803"
2/20/2014,Amazon,Debit,"1,320,789",,"-688,588,592"
2/21/2014,Tebay Trading Co.,Credit,,"42,452,466","-646,136,126"
2/22/2014,Morrisons Petrol,Debit,"54,400",,"-646,190,526"
