,Item no ,Item Name,Description_x,Price,Date,Description_y,Details, Money out , Money in , Balance ,_merge
0,101.0,Financial Services,IBM UK," 1,000,000,000 ",1/18/2013,Received from IBM UK,Credit,," 1,000,000,000 "," 4,000,000,000 ",both
1,102.0,Audit services,Microsoft UK," 300,000,044 ",3/21/2013,Received from Microsoft UK,Credit,," 300,000,044 "," 2,819,896,007 ",both
2,103.0,Security upgrade,Sort Code 20-10-53," 500,498,277 ",3/29/2013,Transfer from Sort Code 20-10-53,Credit,," 500,498,277 "," 3,320,394,284 ",both
3,104.0,Loan service,British Petroleum," 55,049,837 ",5/15/2013,Received from British Petroleum,Credit,," 55,049,837 "," 3,275,414,274 ",both
4,105.0,Audit services,Shell BP," 49,920,002 ",8/20/2013,Received from Shell BP,Credit,," 49,920,002 "," 3,310,205,769 ",both
5,106.0,ATM installation,HSBC Dubai," 100,004,892 ",10/9/2013,Transfer from HSBC Dubai,Credit,," 100,004,892 "," 3,382,210,169 ",both
6,107.0,Misc,Various Payment," 320,490,287 ",2/8/2014,Various Payment,Credit,," 320,490,287 "," 3,452,699,893 ",both
7,108.0,Security upgrade,HMRC," 200,000,034 ",2/9/2014,HMRC,Credit,," 200,000,034 "," 3,652,699,927 ",both
8,109.0,Financial Services,Tebay Trading Co.," 42,452,466 ",2/21/2014,Tebay Trading Co.,Credit,," 42,452,466 "," 3,648,831,170 ",both
9,,,,,2/14/2013,Payment to Natwest Mtge Payt,Debit," 300,009,988 ",," 3,699,990,012 ",right_only
10,,,,,2/28/2013,Payment to UK provident Fund by Draft,Debit," 200,043,995 ",," 3,499,946,017 ",right_only
11,,,,,3/5/2013,Direct Debit HSBC UK,Debit," 980,050,054 ",," 2,519,895,963 ",right_only
12,,,,,5/8/2013,Payment to Exxon Mobil Unlimited,Debit," 100,029,847 ",," 3,220,364,437 ",right_only
13,,,,,5/29/2013,Payment to Board of Internal,Debit," 5,030,498 ",," 3,270,383,776 ",right_only
14,,,,,7/2/2013,Direct Debit HSBC China,Debit," 10,098,009 ",," 3,260,285,767 ",right_only
15,,,,,9/13/2013,Drawn on Cho No. 448960,Debit," 28,000,492 ",," 3,282,205,277 ",right_only
16,,,,,2/7/2014,OVO Energy,Debit," 250,000,563 ",," 3,132,209,606 ",right_only
17,,,,,2/10/2014,DVLA,Debit," 45,000,434 ",," 3,607,699,493 ",right_only
18,,,,,2/20/2014,Amazon,Debit," 1,320,789 ",," 3,606,378,704 ",right_only
19,,,,,2/22/2014,Morrisons Petrol,Debit," 54,400 ",," 3,648,776,770 ",right_only
